('1', '肖申克的救赎', '1994', '弗兰克·德拉邦特 Frank Darabont', '美国', '9.7')
('2', '霸王别姬', '1993', '陈凯歌 Kaige Chen', '中国大陆 香港', '9.6')
('3', '这个杀手不太冷', '1994', '吕克·贝松 Luc Besson', '法国', '9.4')
('4', '阿甘正传', '1994', '罗伯特·泽米吉斯 Robert Zemeckis', '美国', '9.4')
('5', '美丽人生', '1997', '罗伯托·贝尼尼 Roberto Benigni', '意大利', '9.5')
('6', '千与千寻', '2001', '宫崎骏 Hayao Miyazaki', '日本', '9.3')
('7', '泰坦尼克号', '1997', '詹姆斯·卡梅隆 James Cameron', '美国', '9.4')
('8', '辛德勒的名单', '1993', '史蒂文·斯皮尔伯格 Steven Spielberg', '美国', '9.5')
('9', '盗梦空间', '2010', '克里斯托弗·诺兰 Christopher Nolan', '美国 英国', '9.3')
('10', '忠犬八公的故事', '2009', '莱塞·霍尔斯道姆 Lasse Hallström', '美国 英国', '9.3')
('11', '机器人总动员', '2008', '安德鲁·斯坦顿 Andrew Stanton', '美国', '9.3')
('12', '三傻大闹宝莱坞', '2009', '拉库马·希拉尼 Rajkumar Hirani', '印度', '9.2')
('13', '放牛班的春天', '2004', '克里斯托夫·巴拉蒂 Christophe Barratier', '法国 瑞士 德国', '9.3')
('14', '海上钢琴师', '1998', '朱塞佩·托纳多雷 Giuseppe Tornatore', '意大利', '9.2')
('15', '楚门的世界', '1998', '彼得·威尔 Peter Weir', '美国', '9.2')
('16', '大话西游之大圣娶亲', '1995', '刘镇伟 Jeffrey Lau', '香港 中国大陆', '9.2')
('17', '星际穿越', '2014', '克里斯托弗·诺兰 Christopher Nolan', '美国 英国 加拿大 冰岛', '9.3')
('18', '龙猫', '1988', '宫崎骏 Hayao Miyazaki', '日本', '9.2')
('19', '熔炉', '2011', '黄东赫 Dong-hyuk Hwang', '韩国', '9.3')
('20', '教父', '1972', '弗朗西斯·福特·科波拉 Francis Ford Coppola', '美国', '9.3')
('21', '无间道', '2002', '刘伟强 / 麦兆辉', '香港', '9.2')
('22', '疯狂动物城', '2016', '拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore', '美国', '9.2')
('23', '当幸福来敲门', '2006', '加布里尔·穆奇诺 Gabriele Muccino', '美国', '9.1')
('24', '怦然心动', '2010', '罗伯·莱纳 Rob Reiner', '美国', '9.0')
('25', '触不可及', '2011', '奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano', '法国', '9.2')
('26', '蝙蝠侠：黑暗骑士', '2008', '克里斯托弗·诺兰 Christopher Nolan', '美国 英国', '9.1')
('27', '乱世佳人', '1939', '维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor', '美国', '9.3')
('28', '活着', '1994', '张艺谋 Yimou Zhang', '中国大陆 香港', '9.2')
('29', '控方证人', '1957', '比利·怀尔德 Billy Wilder', '美国', '9.6')
